title,duration,rating,voters,genre
150. The Backrooms,1h 3m,8.5,18,Mystery
151. Cellphone,1h 28m,3.0,764,Mystery
152. DNA,2h 36m,5.4,230,Mystery
"153. April, Come She Will",1h 48m,6.2,485,Mystery
154. Chapel,1h 32m,3.3,206,Mystery
155. Rautu Ka Raaz,1h 54m,6.3,2K,Mystery
156. The Ugly,1h 42m,N/A,N/A,Mystery
157. Borderless Fog,1h 50m,5.2,1.4K,Mystery
158. Faultline,1h 32m,4.7,151,Mystery
159. Campton Manor,1h 23m,3.4,267,Mystery
160. Sam and Colby: The Legends of the Paranormal,1h 38m,4.8,321,Mystery
161. 9 Windows,1h 22m,3.6,334,Mystery
162. Séance Games: Metaxu,1h 26m,3.2,261,Mystery
163. Stupid Games,1h 26m,4.2,454,Mystery
164. Granny,40m,7.3,9,Mystery
165. Gaami,2h 27m,6.3,2.1K,Mystery
166. Karma's a Bitch,1h 29m,4.7,50,Mystery
167. Kurukku,1h 49m,6.3,543,Mystery
168. While You Were Sleeping,1h 39m,6.0,181,Mystery
169. Hello Neighbor,N/A,7.9,17,Mystery
170. The Manifestation,1h 24m,3.6,206,Mystery
171. You Will Die in 6 Hours,1h 31m,5.0,343,Mystery
172. Perfect Blue,N/A,7.0,11,Mystery
173. From Darkness,1h 35m,4.9,608,Mystery
174. Solvent,1h 34m,7.2,461,Mystery
175. The Yin Yang Master Zero,1h 52m,5.7,310,Mystery
176. Chaalchitro: The Frame Fatale,2h 4m,6.4,950,Mystery
177. 10 Days of a Curious Man,1h 50m,5.7,1.4K,Mystery
178. Live or Dead: The García File,1h 24m,6.6,96,Mystery
179. House of Lies,1h 22m,3.7,191,Mystery
180. Vertical,1h 51m,5.2,154,Mystery
181. Aftermath,1h 18m,5.2,4.4K,Mystery
182. Killer Influence,1h 24m,2.6,334,Mystery
183. Transamazonia,1h 52m,5.9,87,Mystery
184. What Happened to Suzy,1h 34m,6.3,96,Mystery
185. Birthright,1h 20m,5.3,267,Mystery
186. Tell No Lies,1h 44m,5.0,252,Mystery
187. Amp House Massacre,1h 20m,3.8,205,Mystery
188. First Nights at Freddy's,1h 38m,9.0,22,Mystery
189. Haze,1h 16m,6.4,55,Mystery
190. The Stalking,1h 12m,3.8,56,Mystery
191. The Redemption of Sin,1h 56m,5.7,254,Mystery
192. Bhoothaddam Bhaskar Narayana,2h 21m,6.2,296,Mystery
193. Perewangan,1h 49m,5.4,190,Mystery
194. Midnight Express,1h 4m,N/A,N/A,Mystery
195. Burning Butterflies,1h 43m,7.6,101,Mystery
196. Six jours,1h 35m,5.7,306,Mystery
197. Dark Night of the Soul,1h 21m,3.2,186,Mystery
198. Next to Us,2h 5m,4.9,231,Mystery
199. Go Away,N/A,4.2,231,Mystery
200. Rakshana,2h 19m,5.5,1.2K,Mystery
201. ClearMind,1h 25m,4.1,2.2K,Mystery
202. Waterdrop,1h 30m,7.0,59,Mystery
203. Andhagan,2h 22m,6.6,1.2K,Mystery
204. Foreclosure 2,1h 17m,3.2,150,Mystery
205. Deadly Invitations,1h 29m,4.1,188,Mystery
206. In Our Blood,1h 29m,6.8,52,Mystery
207. Shark Island,1h 21m,3.0,146,Mystery
208. The Shadow,1h 30m,6.4,289,Mystery
209. Drive,1h 30m,5.6,385,Mystery
210. A Song from the Dark,1h 45m,4.9,2.2K,Mystery
211. Dismissed,1h 31m,5.9,134,Mystery
212. Kuramerukagari,1h 1m,5.8,92,Mystery
213. The Private Eye,1h 55m,5.4,277,Mystery
214. Danger in the Dorm,1h 26m,5.0,169,Mystery
215. Real Life Fiction,1h 35m,4.1,81,Mystery
216. Dark Feathers: Dance of the Geisha,1h 33m,6.0,1.1K,Mystery
217. The Epidemic,1h 35m,5.9,72,Mystery
218. My Husband Hired a Hitman,1h 32m,4.6,96,Mystery
219. Prasanna Vadanam,2h 26m,6.6,581,Mystery
220. Like Aani Subscribe,2h 20m,7.2,6.2K,Mystery
221. A Stranger in the Woods,1h 23m,4.8,713,Mystery
222. Free Falling,1h 29m,5.2,316,Mystery
223. 7/G,2h 20m,4.3,644,Mystery
224. Last Stop: Rocafort St.,1h 29m,4.1,529,Mystery
225. The Man Who Loved UFOs,1h 47m,5.2,647,Mystery
226. Hunters on a White Field,1h 40m,4.9,472,Mystery
227. The Unseen Sister,1h 52m,6.7,1.1K,Mystery
228. Dead Man,1h 49m,5.1,220,Mystery
229. Guess Who,1h 33m,4.8,379,Mystery
230. Murder and Cocktails,1h 28m,3.9,374,Mystery
231. You Are Not Alone,1h 45m,6.0,83,Mystery
232. Ranam Aram Thavarel,2h 1m,5.9,820,Mystery
233. Tenant,1h 39m,3.7,214,Mystery
234. That person has disappeared,1h 44m,7.1,88,Mystery
"235. Silent Night, Bloody Night 3: Descent",1h 40m,3.2,213,Mystery
236. Morena,1h 46m,5.3,132,Mystery
237. About a Hero,1h 24m,6.3,63,Mystery
238. Final Girl: Halloween,1h 25m,4.6,114,Mystery
239. Octopus with Broken Arms,1h 49m,6.1,359,Mystery
240. Bodiless,1h 30m,5.7,1.2K,Mystery
241. The Birthday Boy,1h 58m,8.0,3.1K,Mystery
242. The Box,1h 19m,3.3,85,Mystery
243. The Star City Murders,1h 19m,4.1,156,Mystery
244. Secret,1h 59m,3.9,770,Mystery
245. Kaljiga,1h 54m,8.4,44,Mystery
246. Simbaa,2h 1m,5.7,2.2K,Mystery
247. Cidade; Campo,1h 59m,6.3,158,Mystery
248. Backfire,N/A,N/A,N/A,Mystery
249. Flashlight,1h 17m,5.7,16,Mystery
250. Cold Blows the Wind,1h 25m,5.7,807,Mystery
251. The Sintern,1h 38m,4.7,157,Mystery
252. The Twelve Step Strangler,N/A,4.6,8,Mystery
253. Nico,1h 49m,8.2,50,Mystery
254. The Last Chainsaw Massacre,1h 15m,3.7,43,Mystery
255. Somewhere Confidential,N/A,9.0,9,Mystery
256. Kizumonogatari: Koyomi Vamp,2h 24m,7.1,124,Mystery
257. What Happens in Miami,1h 30m,4.2,224,Mystery
258. A Knife in the Dark,1h 16m,3.2,91,Mystery
259. The Women in the Lakes,2h 21m,4.9,34,Mystery
260. Water Horse,1h 25m,5.1,264,Mystery
261. Asher and Ruth,1h 3m,N/A,N/A,Mystery
262. Bato: Road to Death,2h 17m,5.4,777,Mystery
263. Birthmark,1h 57m,4.4,192,Mystery
264. Tragic,1h 36m,9.0,21,Mystery
265. Not Your Average Family,1h 37m,5.5,119,Mystery
266. The Night Curse of Reatrei,1h 35m,4.4,121,Mystery
267. Dr. Jason II: Lights & Shadows,1h 2m,4.9,382,Mystery
268. Memes & Nightmares,1h 21m,5.7,96,Mystery
269. Carnage for Christmas,1h 9m,4.5,355,Mystery
270. Partners,1h 50m,4.8,130,Mystery
271. Snow Valley,1h 15m,2.8,353,Mystery
272. Portraits,1h 22m,4.7,49,Mystery
273. Midnight Taxi,1h 37m,5.2,118,Mystery
274. Fidan,N/A,7.0,85,Mystery
275. Scopophobia,1h 40m,5.3,92,Mystery
276. The Legend of the Vagabond Queen of Lagos,1h 40m,7.8,49,Mystery
277. Best Man Dead Man,1h 23m,6.5,56,Mystery
278. Amityville Turkey Day,1h 34m,3.1,367,Mystery
279. The Temp,N/A,6.0,51,Mystery
280. 200KG Vampire,1h 33m,4.0,62,Mystery
281. Ten Toes Down,N/A,7.4,41,Mystery
282. Glass Casa,1h 46m,7.7,52,Mystery
283. Buying Time,1h 24m,6.3,510,Mystery
284. Suspect,1h 34m,4.5,91,Mystery
285. Algiers,1h 33m,7.7,73,Mystery
286. Dream Thief,N/A,N/A,N/A,Mystery
287. Don't Look Back... I Know Your Origins,1h 44m,3.7,116,Mystery
288. Vivekam,1h 44m,8.2,308,Mystery
289. Mannequin,N/A,6.5,119,Mystery
290. Durga,2h 14m,8.6,174,Mystery
291. Homeboy,N/A,6.5,23,Mystery
292. The Dragon's Tomb,1h 17m,6.7,60,Mystery
293. I Married as the Replacement Bride,N/A,7.5,47,Mystery
294. Swakaryam Sambhavabahulam,1h 56m,6.3,186,Mystery
295. Teddiscare,1h 22m,2.0,177,Mystery
296. Daitya,1h 41m,7.1,10,Mystery
297. The Trail,1h 20m,7.8,38,Mystery
298. Pride,2h 5m,9.0,13,Mystery
299. DreadClub: Vampire's Verdict,1h 28m,5.0,80,Mystery
300. Into the Box,1h 36m,7.6,10,Mystery
301. We Are Tourists,1h 37m,N/A,N/A,Mystery
302. The Hunter's Anthology: The Demon Hunter,2h 6m,4.7,105,Mystery
303. Beline,1h 28m,5.5,1.3K,Mystery
304. Shadows of Betrayal: Chronicles of Ian Blair,1h 5m,7.1,16,Mystery
305. A Cold Grave,1h 15m,3.5,280,Mystery
306. Welcome to the Game,1h 30m,6.0,70,Mystery
307. Take Good Care,1h 41m,6.1,8,Mystery
308. A Thousand Cuts,N/A,N/A,N/A,Mystery
309. PinkCity: A Psychedelic Meditation,1h 35m,N/A,N/A,Mystery
310. Gizmo,1h 17m,6.1,8,Mystery
311. The Land of Morning Calm,1h 53m,6.4,40,Mystery
312. Killerwood,1h 24m,6.6,69,Mystery
313. Agastya - Chapter 1,2h 48m,6.9,635,Mystery
314. Dark Deceptions,1h 22m,6.0,39,Mystery
315. The Fall of 2008,1h 1m,5.8,12,Mystery
316. A Girl Upstairs,1h 30m,6.2,50,Mystery
317. Karina,1h 30m,6.3,67,Mystery
318. Treasures of Terror: Vol 1,N/A,4.2,21,Mystery
319. LasseMajas detektivbyrå - Maskoten som försvann,1h 30m,6.0,74,Mystery
320. Who Killed Terrance Brown?,1h 35m,6.7,13,Mystery
321. Asesinos Notables,N/A,N/A,N/A,Mystery
322. The Mermaid,1h 45m,7.8,36,Mystery
323. Dirty Thirty,1h 36m,N/A,N/A,Mystery
324. Chithini,2h 31m,6.1,554,Mystery
325. The Apocalypse Box,1h 26m,3.3,250,Mystery
326. Sanak,2h 33m,8.7,10,Mystery
327. The Victims,1h 39m,5.8,96,Mystery
328. Thy Will Be Done,1h 38m,N/A,N/A,Mystery
