title,duration,rating,voters,genre
170. Hanu Man,2h 38m,7.7,30K,Action
171. Kill Em All 2,1h 28m,4.1,1.5K,Action
172. Wynonna Earp: Vengeance,1h 36m,5.6,1.8K,Action
173. Kali,1h 36m,5.2,433,Action
"174. I, the Executioner",1h 58m,6.3,2.2K,Action
175. Shekko,2h,5.9,662,Action
176. Hounds of War,1h 35m,4.6,2.1K,Action
177. Auron Mein Kahan Dum Tha,2h 30m,6.3,41K,Action
178. Zebra,2h 44m,7.1,3.4K,Action
179. Karma,2h 47m,7.9,1.5K,Action
180. Baby John,2h 39m,5.0,18K,Action
181. Bougainvillea,2h 18m,6.4,3.5K,Action
182. Hagen,2h 19m,6.0,1.5K,Action
183. Terminator: Skynet Rising,1h 28m,6.6,308,Action
184. In the Fire of War,1h 55m,6.6,306,Action
185. Weapon,2h,5.6,6.5K,Action
186. Dark Match,1h 34m,5.4,1.3K,Action
187. Freedom,1h 50m,5.9,1.5K,Action
188. Utopia,1h 31m,3.7,512,Action
189. Continental Split,1h 28m,3.6,588,Action
190. Rifle Club,1h 53m,7.0,4.7K,Action
191. 11 Rebels,2h 35m,6.2,889,Action
192. Cells at Work!,1h 49m,6.7,1.2K,Action
193. The Last Front,1h 38m,5.5,667,Action
194. Shoutai,2h,6.8,785,Action
195. The Price of Money: A Largo Winch Adventure,1h 40m,5.1,1.4K,Action
196. Roadkill,1h 30m,3.7,711,Action
197. Yudhra,2h 22m,4.9,14K,Action
198. Snatched,1h 41m,5.9,540,Action
199. Exorcism Chronicles: The Beginning,1h 25m,6.4,153,Action
200. 12 Gaun,2h 27m,6.5,979,Action
201. Vedaa,2h 25m,6.0,4.6K,Action
202. Operation Hope,2h 7m,6.4,26,Action
203. A.R.M,2h 30m,7.1,9.3K,Action
204. Lights Out,1h 30m,4.9,1.9K,Action
205. Rathnam,2h 35m,5.4,3.7K,Action
206. Bloody Beggar,2h 14m,6.2,4.8K,Action
207. Panda Plan,1h 39m,5.1,1.7K,Action
208. A Legend,2h 9m,4.7,1.1K,Action
209. Toofan,2h 25m,7.3,8.9K,Action
210. Hellhound,1h 43m,4.3,559,Action
211. Stuntman,1h 54m,7.0,252,Action
212. Eagle,2h 39m,5.9,5K,Action
213. The Waiter,N/A,8.0,31,Action
214. Dominique,1h 40m,5.3,2.5K,Action
215. Agent Recon,1h 25m,2.4,785,Action
216. 72 Hours,1h 27m,4.1,351,Action
217. Duchess,1h 54m,4.6,1.7K,Action
218. Operation Blood Hunt,1h 33m,3.4,548,Action
219. Sasan,2h 35m,8.8,100,Action
220. Por,2h 34m,5.1,634,Action
221. Kingdom 4: Return of the Great General,2h 25m,7.2,1.5K,Action
222. One More Shot,1h 43m,5.4,3.9K,Action
223. The Family Star,2h 39m,5.4,5.7K,Action
224. Golden Kamuy,2h 7m,6.3,2.7K,Action
225. Captain Miller,2h 37m,7.2,14K,Action
226. Heart of the Hunter,1h 45m,4.7,2.2K,Action
227. Agni,2h 2m,7.2,15K,Action
228. Operation Undead,1h 50m,4.7,490,Action
229. The Last Kumite,1h 45m,4.6,2.4K,Action
230. Bionic,1h 50m,4.3,1.8K,Action
231. Bidurbhai,2h 28m,9.2,429,Action
232. Sunray: Fallen Soldier,1h 55m,4.4,766,Action
233. Hit List,2h 5m,5.6,355,Action
234. Kahar: Kapla High Council,1h 42m,7.2,547,Action
235. Mathu Vadalara 2,2h 19m,7.0,1.8K,Action
236. Dirty Money,1h 40m,5.6,235,Action
237. The Waves of Madness,1h 8m,5.2,131,Action
238. Warning 2,2h 5m,7.1,909,Action
239. Invasion,1h 31m,4.8,777,Action
240. The Firefighters,1h 46m,5.7,279,Action
241. Murder Company,1h 26m,3.6,1.7K,Action
242. Mirza: Part 1 - Joker,2h 45m,6.8,245,Action
243. Reloaded 2,45m,7.4,1.3K,Action
244. Fighting the Fire,1h 55m,8.2,1.7K,Action
245. Mafia Wars,1h 38m,3.6,309,Action
246. Angels Fallen: Warriors of Peace,1h 43m,4.8,6.5K,Action
247. Genis Aile 4: Cevahir & Ulvi,1h 30m,4.6,302,Action
248. Desperado,1h 40m,5.9,160,Action
249. Operation: Raqqa,1h 47m,5.6,342,Action
250. Atypical Pirate,N/A,N/A,N/A,Action
251. Sikaar,2h 30m,8.2,695,Action
252. Alligator Blood,N/A,5.2,1.2K,Action
253. Article 370,2h 38m,7.8,25K,Action
254. 24 Hours to D-Day,1h 23m,2.8,143,Action
255. Kanguva,2h 32m,4.5,15K,Action
256. Martin,2h 27m,2.2,36K,Action
257. Crack: Back in Da Hood,1h 22m,4.4,52,Action
258. Darkness of Man,1h 49m,4.7,3.3K,Action
259. City Hunter,1h 42m,6.3,5.8K,Action
260. Anaconda,1h 24m,4.9,701,Action
261. Latency,1h 34m,4.2,3K,Action
262. Fluxx,1h 40m,5.6,138,Action
263. The Twisters,1h 26m,2.6,486,Action
264. Shark Warning,1h 34m,3.5,428,Action
265. Savi,2h 6m,5.9,36K,Action
266. Outlaw,1h 22m,5.2,1K,Action
267. Siren,2h 34m,6.4,3K,Action
268. Baby Assassins: Nice Days,1h 43m,7.0,482,Action
269. Max,2h 12m,7.1,3.7K,Action
270. Matka,2h 36m,4.7,616,Action
271. Return to the Ring,1h 46m,5.4,767,Action
272. Indian 2,N/A,3.8,17K,Action
273. Garudan,2h 13m,7.1,3.5K,Action
274. Bangkok Dog,1h 29m,4.6,279,Action
275. Saindhav,2h 18m,5.0,1.7K,Action
276. Sheriff,2h 13m,6.9,1.2K,Action
277. Uninvited,1h 33m,5.6,378,Action
278. S.T.A.L.K.E.R.: Shadow of the Zone,1h 11m,4.8,683,Action
279. The Tiger's Apprentice,1h 24m,5.8,2.3K,Action
280. The Ballad of Davy Crockett,1h 36m,4.6,277,Action
281. Baby Invasion,1h 20m,4.6,649,Action
282. Hijack 1971,1h 40m,6.8,3.6K,Action
283. Operation Valentine,2h 13m,5.3,1.8K,Action
284. American Warrior,1h 33m,8.6,32,Action
285. Joe Baby,1h 26m,4.4,122,Action
286. Peter Five Eight,1h 40m,3.5,1.1K,Action
287. How to Rob a Bank,1h 28m,6.6,4.4K,Action
288. Mission: Cross,1h 45m,6.1,2.8K,Action
289. Wanted Man,1h 25m,4.8,2.7K,Action
290. Air Force One Down,1h 24m,4.4,3K,Action
291. Murder at Hollow Creek,N/A,4.1,103,Action
292. GTMax,1h 40m,5.0,1.3K,Action
293. KA,2h 31m,7.0,1.7K,Action
294. Sorgavaasal,2h 18m,6.6,1.5K,Action
295. Spiders on a Plane,1h 18m,3.8,505,Action
296. Skiptrace,1h 20m,5.6,5,Action
297. E-mail,1h 59m,5.2,808,Action
298. Harom Hara,2h 34m,6.6,3.1K,Action
299. Don't Mess with Grandma,1h 21m,5.5,319,Action
300. The Lockdown,1h 57m,4.3,635,Action
301. Mura,2h 9m,7.2,6.8K,Action
302. Razakar: The Silent Genocide of Hyderabad,2h 46m,7.3,5.4K,Action
303. The Avenger,N/A,3.7,20,Action
304. Ryan's World the Movie: Titan Universe Adventure,1h 20m,1.8,763,Action
"305. Love, Courage and the Battle of Bushy Run",1h 53m,5.0,202,Action
306. Tillu Square,2h 17m,6.6,3.5K,Action
307. Get Fast,1h 28m,3.7,535,Action
308. Bheema,2h 28m,5.7,990,Action
309. Bachhala Malli,2h 20m,8.2,4K,Action
310. Vanvaas,2h 40m,6.6,1.5K,Action
311. Witch Hunter,1h 20m,4.0,49,Action
312. Yuva,2h 33m,5.7,865,Action
313. The Plot,1h 40m,4.8,448,Action
314. Je Jatt Vigarh Gya,2h 12m,5.7,838,Action
315. Gandhi 3,2h 23m,5.7,255,Action
316. Cesium Fallout,2h 15m,6.3,972,Action
317. Sixty Minutes,1h 28m,5.7,5.4K,Action
318. The Hangman,1h 32m,3.3,1.1K,Action
319. Fight Another Day,1h 37m,4.5,402,Action
320. Nice Girls,1h 32m,4.2,1.2K,Action
321. Bureau 749,2h 3m,3.8,595,Action
322. The Kingdom,2h 13m,7.0,162,Action
323. Mechanic Rocky,2h 36m,6.3,3.5K,Action
324. Mobile Suit Gundam SEED Freedom,2h 4m,6.6,1K,Action
325. Ferry 2,1h 34m,5.6,4K,Action
326. Crakk: Jeetega... Toh Jiyegaa,2h 34m,4.7,6.5K,Action
327. Rats!,1h 25m,6.4,257,Action
328. Baki Hanma VS Kengan Ashura,1h 2m,5.7,2.1K,Action
329. Gatao: Like Father Like Son,2h 11m,5.7,280,Action
330. Sous écrous,1h 51m,4.8,159,Action
331. September Babies,1h 34m,5.0,334,Action
332. Rode College,2h 48m,6.5,441,Action
333. Tariq,2h 2m,6.2,18,Action
334. Mummy Shark,1h 6m,2.0,233,Action
335. Mr. Bachchan,2h 30m,3.6,5.3K,Action
336. Bohurupi,2h 35m,7.8,1.8K,Action
337. Son's Will,2h 28m,7.4,1.1K,Action
338. Devaki Nandana Vasudeva,2h 8m,6.5,2.8K,Action
339. Conquer: Lahad Datu,2h,6.6,577,Action
340. Sons of Rizk 3,2h 5m,6.6,1.9K,Action
341. Double Ismart,2h 36m,2.9,2.2K,Action
342. Kondal,2h 27m,5.3,813,Action
343. Bhaje Vaayu Vegam,2h 16m,6.1,782,Action
344. Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,2h 54m,8.3,684,Action
345. The Friendly,1h 41m,8.8,42,Action
346. The Last Ronin,1h 55m,4.9,611,Action
347. Ship of the Damned,1h 28m,2.8,315,Action
348. Turbo,2h 35m,5.9,4.1K,Action
349. Rogue Elements: A Ryan Drake Story,44m,4.1,1.1K,Action
350. Ruslaan,2h,3.3,1.3K,Action
351. School of Magical Animals 3,1h 45m,5.7,386,Action
352. Alien Country,1h 36m,4.5,441,Action
353. Mission: Chapter 1,2h 24m,5.9,1.7K,Action
354. DNA,2h 36m,5.4,230,Action
355. Arena Wars,1h 36m,5.5,3.3K,Action
356. All the Lost Ones,1h 46m,3.6,282,Action
357. Pins & Needles,1h 35m,5.8,76,Action
358. Cassino in Ischia,1h 53m,4.4,291,Action
359. High Forces,1h 59m,5.8,626,Action
360. Bastar: The Naxal Story,2h 4m,6.4,3.4K,Action
361. They Call Her Death,1h 32m,5.4,232,Action
362. 12 to Midnight,1h 36m,3.7,309,Action
363. ZombieCON Vol. 1,1h 50m,7.8,40,Action
364. War of the Worlds: Extinction,1h 24m,3.1,232,Action
365. No Time to Spy: A Loud House Movie,1h 21m,6.4,528,Action
366. Codename: Devil,1h 44m,6.6,1.3K,Action
367. Purushothamudu,2h,5.7,3.4K,Action
368. Sentinelese,1h 30m,N/A,N/A,Action
369. The Last Stand of Ellen Cole,1h 37m,6.5,119,Action
370. Non Negotiable,1h 27m,5.4,1.3K,Action
371. Devil's Knight,1h 30m,5.3,1K,Action
372. Alangu,2h 11m,7.9,1.5K,Action
373. Snow White and the Seven Samurai,1h 28m,3.2,329,Action
374. 6 Hours Away,1h 33m,3.9,272,Action
375. Second Life,1h 45m,6.8,71,Action
376. Naa Saami Ranga,2h 30m,4.5,1.2K,Action
377. Bhaiyya Ji,2h 30m,4.8,7.4K,Action
378. Sucha Soorma,2h 16m,6.4,964,Action
379. Bangkok Breaking: Heaven and Hell,2h 26m,5.8,709,Action
380. Barroz: Guardian of Treasures,2h 35m,3.4,1.1K,Action
381. The Wolf,1h 27m,3.5,43,Action
382. Hunting with Tigers,1h 49m,5.6,584,Action
383. (Pri)sons,1h 40m,4.9,317,Action
384. Thundu,2h 5m,5.0,935,Action
385. Pimpinero: Blood and Oil,2h 1m,5.6,598,Action
386. Chhota Bheem and the Curse of Damyaan,2h 25m,4.8,2.3K,Action
387. Bull Shark 2,1h 15m,2.6,252,Action
388. Gladiators,1h 35m,3.2,139,Action
389. Prepare to Die,1h 33m,4.5,250,Action
390. Pottel,2h 28m,8.0,2.8K,Action
391. The Omicron Killer,1h 38m,2.8,603,Action
392. Eye for an Eye 2,1h 30m,6.6,593,Action
393. Taken from Rio Bravo,1h 20m,3.0,342,Action
394. Hunt the Wicked,1h 42m,5.4,206,Action
395. Citizen of a Kind,1h 54m,6.6,984,Action
396. Viswam,2h 35m,4.2,661,Action
397. Blade of Fury,1h 30m,6.2,157,Action
398. Ghosts of Red Ridge,1h 21m,3.3,191,Action
399. Deaner '89,1h 30m,5.9,483,Action
400. Gangs of Godavari,2h 45m,4.9,926,Action
401. The Miranda Brothers,1h 39m,4.4,194,Action
402. Bhimaa,2h 21m,5.1,1.2K,Action
403. The Infallibles,1h 39m,4.8,806,Action
404. Tòkunbò,1h 53m,3.9,309,Action
405. Rajakili,2h 2m,4.9,630,Action
406. Road Wars: Max Fury,1h 23m,2.0,374,Action
407. Big City Greens the Movie: Spacecation,1h 23m,6.2,625,Action
408. Echo 8,1h 35m,5.9,1.4K,Action
409. Troubleshooters,1h 50m,6.3,438,Action
410. Guy Manley: Super Spy,1h 32m,4.0,177,Action
411. Taklee Genesis x Worlds Collide,2h 26m,5.4,447,Action
412. Dange,2h 34m,5.3,816,Action
413. The Charisma Killers,1h 41m,6.2,799,Action
414. Love You to Debt,2h 15m,6.3,794,Action
415. The Burden of Nine Lives,1h 56m,5.2,120,Action
416. Rendel: Cycle of Revenge,1h 39m,3.6,272,Action
417. My Fathers' Daughter,1h 18m,6.4,90,Action
418. Hitler,2h 8m,5.2,323,Action
419. Vixen,1h 27m,5.3,351,Action
420. Anunnakiler,1h 16m,2.5,483,Action
421. Irmãos de Sangue,1h 10m,N/A,N/A,Action
422. First Nights at Freddy's,1h 38m,9.0,22,Action
423. Clone Cops,1h 36m,5.3,360,Action
424. Customs Frontline,1h 55m,5.5,559,Action
425. Mazhai Pidikatha Manithan,2h 13m,4.5,432,Action
426. The Lost Tiger,1h 30m,7.3,66,Action
427. Peter Brook's the Mahabharata (8K),2h 53m,8.5,6,Action
428. Pusaka,1h 30m,5.2,211,Action
429. Inanimate Insanity II: The Movie,1h 46m,8.3,269,Action
430. Rebirth Island,1h 43m,7.7,57,Action
431. Mongol,2h 35m,7.3,120,Action
432. Sector 17,2h 26m,5.4,1.3K,Action
433. My Redneck Neighbor: Chapter 2 - Let the Games Begin,55m,5.7,11,Action
434. The Grey Men,1h 37m,6.5,81,Action
435. The Bodyguard,1h 27m,6.6,44,Action
436. Day Labor,1h 28m,6.2,102,Action
437. Black Heat,1h 33m,8.0,151,Action
438. Young Lion of the West,1h 33m,5.3,113,Action
439. Marni: The Story of Wewe Gombel,1h 59m,6.7,1K,Action
440. Six jours,1h 35m,5.7,306,Action
441. Agents,1h 22m,3.3,959,Action
442. Texas Twister,1h 28m,2.5,168,Action
443. WWII: Operation Phoenix,1h 46m,4.0,110,Action
444. Surrender,2h 29m,7.8,15,Action
445. The Wild Blade of Strangers,1h 42m,6.2,127,Action
446. The Captives,1h 13m,3.6,76,Action
447. Alpha.,1h 40m,6.8,300,Action
448. Neo-Dome,15m,5.7,25,Action
449. Next to Us,2h 5m,4.9,231,Action
450. Ballistic,1h 35m,2.3,171,Action
451. Midas,1h 25m,4.6,357,Action
452. Sabari,2h 9m,6.4,5.4K,Action
453. Bolero,N/A,3.0,31,Action
454. Mean Streets,N/A,8.0,15,Action
455. Malaikottai Vaaliban,2h 36m,6.0,4.2K,Action
456. The Experts,2h 1m,6.2,321,Action
457. Major Grom: The Game,2h 48m,6.2,1.9K,Action
458. Villain - Life of a Gangster,2h 21m,8.7,170,Action
459. Crisis Negotiators,2h,6.7,776,Action
460. Gam Gam Ganesha,2h 20m,5.3,327,Action
461. Appu,1h 32m,8.2,203,Action
462. Where Is Gilgamesh?,1h 30m,8.9,640,Action
463. Chaari 111,2h 10m,4.8,274,Action
464. Art of Eight Limbs,1h 41m,3.9,336,Action
465. Kung Fu Games,1h 38m,3.3,398,Action
466. Mahadev Ka Gorakhpur,2h 11m,7.2,414,Action
467. Virunnu,2h 5m,4.0,962,Action
468. Shark Island,1h 21m,3.0,146,Action
469. Identity,1h 24m,8.2,5,Action
"470. Fool Me Once, Revenge on You",N/A,7.6,17,Action
471. The Slave and the Sorcerer,1h 26m,6.5,49,Action
472. Drive,1h 30m,5.6,385,Action
473. UmroAyyar - A New Beginning,2h 15m,7.0,685,Action
474. Big Rage,1h 55m,3.5,183,Action
475. Checkmate,1h 44m,4.3,405,Action
476. Babu,2h 22m,7.1,190,Action
477. Andromeda: 1883,1h 15m,3.9,20,Action
478. Kill Craft,1h 39m,2.5,387,Action
479. Paradise,1h 23m,6.9,83,Action
480. I Heart Robots,1h 16m,4.5,2.4K,Action
481. Team of Two,N/A,4.9,116,Action
482. The Actor,2h 8m,3.4,740,Action
483. Game On,2h 20m,5.0,2.3K,Action
484. The Wolfman,N/A,N/A,N/A,Action
485. Mafia,N/A,N/A,N/A,Action
486. Lady Scorpions,1h 41m,3.6,382,Action
487. Lisabi: The Uprising,1h 47m,5.1,145,Action
488. Top Floor,1h 14m,5.5,83,Action
489. The Epidemic,1h 35m,5.9,72,Action
490. Honeko Akabane's Bodyguards,1h 57m,6.0,66,Action
491. Anchakkallakokkan,2h 6m,6.6,1K,Action
492. Rebel,1h 40m,3.3,69,Action
493. Nu Huo 12 Xiao Shi,1h 26m,6.0,62,Action
494. Aho Vikramaarka,2h 16m,6.9,76,Action
495. Touchdown,1h 18m,6.3,15,Action
496. Kuang Bao Ju Xi,1h 15m,5.6,99,Action
497. The Bouncer,1h 18m,4.1,109,Action
498. Sayen: The Huntress,1h 28m,4.4,267,Action
499. Death Game,1h 28m,6.5,29,Action
500. Buddy,2h 17m,3.8,364,Action
501. Nothing Even Matters,1h 30m,5.8,85,Action
502. The Unexpecteds,N/A,N/A,N/A,Action
503. Malayalee from India,2h 40m,5.6,5.1K,Action
